schid,clsid,stuid,sex,age,score_read,score_math
22,2,5,1,12,497.320763230119,630.0803860430461
23,2,5,2,15,673.529806012687,453.7150468396931
24,2,5,1,13,360.3401939542531,623.8513762721522
25,2,5,1,11,389.9548108138579,355.2781272808255
26,2,5,2,9,523.333918105906,355.7074362944147
27,2,5,1,10,535.6009057278076,659.8085895309071
28,2,5,2,8,701.0053986944919,412.0065446014962
29,2,5,2,12,452.9358487098203,630.9831119196697
30,2,5,2,9,400.1507416120506,663.631756908022
31,2,5,2,13,440.4398336187919,229.9812307273863
32,2,5,1,14,629.5300860158617,514.1770910912501
33,2,5,1,15,355.1853229044526,546.9352598785562
34,2,5,1,9,413.0586548081993,392.0822121674522
35,2,5,1,15,788.7728764952501,578.4527211128342
36,2,5,1,14,441.257530827364,506.5655122030702
37,2,5,1,13,486.3098075871338,345.5313727374294
38,2,5,1,12,584.7103597467318,402.7938461036497
39,2,5,1,12,580.9515314101586,499.0231110956258
40,2,5,2,14,281.8253245722268,555.8281411515326
1,3,5,1,8,577.9724742087523,497.9947091407626
2,3,5,1,9,604.8521612111895,483.468492774588
3,3,5,2,10,429.9084349213545,618.7707970090891
4,3,5,1,9,584.5356378093131,502.4532106052673
5,3,5,2,9,353.8697918018744,636.7689089167507
6,3,5,1,12,491.1831433071424,562.0467169865882
7,3,5,2,8,424.2909853911016,501.0136638839584
8,3,5,1,13,324.9895168746823,368.9189754199011
9,3,5,1,11,448.902926738024,419.5725977914691
10,3,5,2,10,444.9107824173609,504.6423188321662
11,3,5,1,15,454.1036857570949,707.7027995735273
12,3,5,1,13,406.9317794348421,429.663698604079
13,3,5,1,8,474.5570419478575,623.5567520392883
14,3,5,2,12,448.8615964966506,342.8482976652213
15,3,5,1,10,750.6058402391191,633.9493665820459
16,3,5,1,14,442.2216338089049,413.021524418187
17,3,5,1,15,406.1476015188558,626.4020573752664
18,3,5,1,13,606.6757810192905,436.2978867413274
19,3,5,2,8,427.8002828335536,711.3070730371436
20,3,5,2,12,432.4749042024033,461.1054108999584
21,3,5,1,13,418.955553422883,532.7702414504954
22,3,5,1,11,466.8707312630781,399.8643934327348
23,3,5,1,11,669.3884648718306,586.7508734274891
24,3,5,2,14,527.0935682026278,734.155862794992
25,3,5,2,9,515.9594211581897,556.850975137497
26,3,5,2,8,428.2513851128471,596.7335188202202
27,3,5,1,14,489.843672940725,554.1013592903719
28,3,5,1,15,497.0847848318094,472.6254637476957
29,3,5,2,11,441.905058685878,426.1942255235634
30,3,5,1,9,632.1229476373848,524.4895795191541
31,3,5,1,11,704.9155566656558,501.9403525673872
32,3,5,2,10,526.0262995064588,639.2584640101655
33,3,5,2,15,520.6829536414556,317.1858829057754
34,3,5,1,10,481.362724996668,370.0704197875532
35,3,5,1,9,492.4962472803796,389.6638219976178
36,3,5,1,8,528.2900994781702,507.110570239602
37,3,5,1,10,428.9632100194736,404.5644563520028
38,3,5,1,11,521.7282243553936,589.5028703428353
39,3,5,2,15,525.8480215604966,530.2047327432587
40,3,5,2,12,562.6705827393887,625.8842902524706
1,1,6,1,14,417.2016801543135,518.9013085070263
2,1,6,2,11,353.4606751342452,704.7100959628664
3,1,6,2,8,629.4189084078106,409.4315070941465
4,1,6,2,10,481.0142177782922,499.1680244347232
5,1,6,1,13,464.1365228392247,671.3393735514956
6,1,6,2,12,514.6939215369182,568.3000748796674
7,1,6,1,10,528.9647031059467,256.1602767751464
8,1,6,1,15,586.9308335698649,529.0843849517643
9,1,6,2,12,505.1914453236027,611.9864752838309
10,1,6,2,9,535.7873911210611,564.6531713414104
11,1,6,1,10,422.2409725628939,519.5980335468307
12,1,6,2,9,464.8114101836675,522.4052023054937
13,1,6,2,10,490.2822174602245,463.3266513800577
14,1,6,1,15,543.986635165392,476.7749301999459
15,1,6,1,13,433.621341128037,363.9656284637432
16,1,6,2,13,455.0105725330428,410.2424655955434
17,1,6,1,10,537.0304840254793,352.4122501693996
18,1,6,1,14,601.2314105816688,438.7766145298239
19,1,6,2,11,465.9099613331117,386.7437307235111
20,1,6,2,12,478.9030072154982,720.9034837849699
21,1,6,1,14,514.7951206083003,602.6228153469476
22,1,6,1,13,433.2043249931521,460.2175436671046
23,1,6,2,15,529.5525327711146,485.2091188465723
24,1,6,2,9,653.418238932847,389.7881680431632
25,1,6,1,13,541.653378323728,397.4072125470778
26,1,6,2,12,555.4983195685737,420.2458323254166
27,1,6,2,12,267.717774091475,453.4928381613585
28,1,6,2,12,439.4605522660298,334.9983256784641
29,1,6,1,9,537.2585150654328,336.2143622772139
30,1,6,2,9,492.4539176295812,554.5033493917011
31,1,6,1,14,503.243109420684,519.8869232119561
32,1,6,1,15,576.4202175936728,407.7137628270095
33,1,6,1,9,426.7356160042665,541.8836772946046
34,1,6,1,9,323.5829905651675,510.7436875406485
35,1,6,2,14,639.9396923708005,462.8520764168995
36,1,6,1,12,480.8726521651573,405.5470632442612
37,1,6,1,14,557.0367389679847,444.0705208896539
38,1,6,2,15,568.2104132228731,553.00256011122
39,1,6,1,8,310.3758183318744,548.8611344363668
40,1,6,1,11,334.8032351469712,422.6333314832664
1,2,6,2,15,503.3487288459589,608.8832433847683
2,2,6,2,8,481.7854343161378,530.088847121135
3,2,6,2,8,596.3357862873545,662.4860141333727
4,2,6,2,11,426.9399130660974,585.143729498672
5,2,6,1,8,459.7842475549007,482.68067306436
6,2,6,1,10,769.9164704964055,540.4191922399349
7,2,6,2,10,602.8740120743815,351.9881064985979
8,2,6,2,12,495.7881639638859,543.0879700757248
9,2,6,1,15,669.8004455761925,535.1544293601289
10,2,6,2,9,507.3686957009618,624.3863745673015
11,2,6,2,9,440.0986028335836,597.5136525521373
12,2,6,1,8,605.3612739121239,335.4843318463998
13,2,6,1,11,467.8837548857597,438.8084389269111
14,2,6,1,14,650.8285813739528,448.4556026448113
15,2,6,1,14,551.4887322645026,445.5426067576836
16,2,6,2,10,639.7702022560832,486.7891136667322
17,2,6,2,13,503.563723964692,389.3572260206681
18,2,6,2,8,447.1344464029539,448.8480310829457
19,2,6,2,10,469.6760766945829,550.5996646108232
20,2,6,2,11,388.642553912798,669.3029728069272
21,2,6,2,11,525.0411838126677,439.8348286927968
22,2,6,2,13,494.5598984039714,622.0266667016799
23,2,6,2,12,587.7887642724445,745.5788038124003
24,2,6,2,11,560.1063721909043,536.1612781315546
25,2,6,1,12,474.91082910353,671.2921591153711
26,2,6,1,10,475.8284373200383,594.578111358302
27,2,6,2,13,492.8275298511481,245.2595498097645
28,2,6,1,9,347.3319638084722,450.3696962025842
29,2,6,1,12,472.0364658154272,418.3912263259199
30,2,6,1,11,643.6017079237463,705.6801359509427
31,2,6,2,12,520.790318009942,464.0011616981745
32,2,6,1,11,461.3632270457809,403.5298236486353
33,2,6,1,13,601.0185299716236,270.0299392968711
34,2,6,1,11,393.7723053943658,559.4470368495312
35,2,6,1,13,544.9199550806778,482.2238404421686
36,2,6,2,8,389.5617907906483,655.8138416761486
37,2,6,2,12,543.5005577187421,538.4843873277861
38,2,6,1,8,662.9396414789162,590.3984509678374
39,2,6,2,14,353.5508734899465,419.0963471232997
40,2,6,1,8,510.9846026083024,366.8058553997395
1,3,6,1,11,409.4371493724825,456.8890625497792
2,3,6,1,15,587.9995576325085,511.5496452246775
3,3,6,2,14,566.9230446367618,464.3598007812093
4,3,6,1,10,499.279163025138,487.2616537706332
5,3,6,1,15,474.8310028219303,608.6173040334809
6,3,6,2,9,571.0023360564904,443.6685808319393
7,3,6,1,8,489.5478805629705,739.6583445607541
8,3,6,2,14,618.5608196272303,339.2634332209539
9,3,6,2,9,272.405061159973,589.0907590629912
10,3,6,2,9,593.0666040997244,755.9712555553803
11,3,6,1,10,337.6523806636495,555.0703979241093
12,3,6,1,8,536.1731706123127,418.3521580062386
13,3,6,1,8,300.8423548504596,432.968452748219
14,3,6,2,11,467.9494715699358,395.8317744543131
15,3,6,1,12,540.4162806110235,472.8425641217137
16,3,6,2,9,689.1193028493998,493.0307202537847
17,3,6,2,12,591.3108644161568,575.9876035401857
18,3,6,1,12,538.6479125907275,397.1962103067178
19,3,6,2,15,471.7456963751154,428.6225424215914
20,3,6,1,11,536.4659750528132,484.9552714092842
21,3,6,2,10,647.4451062382092,506.716403028587
22,3,6,1,13,515.4095178491647,597.7060081196105
23,3,6,2,11,630.350972718036,378.6603626398029
24,3,6,2,15,500.6637040984429,553.4303346485639
25,3,6,2,13,326.8812452380785,445.4096298758904
26,3,6,1,11,684.3917941688157,439.4247495510917
27,3,6,2,13,559.1720055507139,428.3258291383773
28,3,6,1,12,568.5907449692107,622.1830043591696
29,3,6,2,9,339.3248355410672,435.6716304878177
30,3,6,2,13,307.836327718186,492.8758694245461
31,3,6,1,12,692.7280863642869,417.5488408239078
32,3,6,2,8,726.7193574704363,460.5544533151827
33,3,6,1,15,470.1898482779486,419.8479363780078
34,3,6,2,8,343.6677528765345,382.8718656864648
35,3,6,1,14,401.5575085121553,592.9686636262857
36,3,6,2,11,431.044935178097,495.770024432846
37,3,6,2,14,393.1984224567994,438.775345696189
38,3,6,1,11,481.8463753025327,269.2518746291169
39,3,6,2,15,506.1520598655728,427.6873415488124
40,3,6,2,13,645.9287797986476,640.1133207069383
1,1,7,1,11,561.176620092749,546.9544102529719
2,1,7,1,10,620.3443213233613,547.3875933354157
3,1,7,2,8,706.6130656938903,443.5729251084476
4,1,7,1,9,465.2725910352387,547.144625391142
5,1,7,1,8,344.7010668633781,439.709598252
6,1,7,2,9,425.8075935258358,558.2074535430839
7,1,7,1,9,474.74929571714,532.5399292211641
8,1,7,2,9,449.2210579642788,494.0267840208232
9,1,7,2,11,616.0739687753934,432.1320353248663
10,1,7,2,13,771.7633593948681,735.9948919873925
11,1,7,1,15,694.2053439435509,476.7781114135998
12,1,7,1,11,524.7747701182717,514.8350680038204
13,1,7,2,10,812.8408937029028,305.7220536541913
14,1,7,1,8,581.5005072507523,505.1696693059844
15,1,7,1,11,491.561417286801,423.8205858766
16,1,7,1,13,349.2870851869644,444.8000797424182
17,1,7,2,8,373.675413328436,585.495632672506
18,1,7,1,9,366.6831851164683,538.6262419892863
19,1,7,1,15,606.0647278331004,338.7698999867278
20,1,7,2,8,498.6839105424573,536.0516493822979
21,1,7,2,11,586.2766040796347,664.0020949824947
22,1,7,2,14,494.3515538340633,550.5340784852195
23,1,7,2,8,632.6168906216487,497.869425523177
24,1,7,1,12,487.0893864483313,529.564754078292
25,1,7,2,10,473.1470691517371,513.5956800764703
26,1,7,2,9,374.7726116094602,493.7217711368075
27,1,7,2,12,538.8325133823895,443.9686053282037
28,1,7,1,14,525.2162735257897,391.974909391337
29,1,7,2,8,592.4153165591848,572.2345418385836
30,1,7,2,10,511.2592251788136,611.7819424322945
31,1,7,2,15,432.2174119631654,526.3197012796325
32,1,7,1,15,556.8294827592345,432.0924707213683
33,1,7,1,9,495.2000338600751,373.1596837039992
34,1,7,2,11,389.4192004850553,522.7725538433358
35,1,7,2,8,525.4715630865031,505.1913641553244
36,1,7,1,9,458.2892138567719,460.8799961765272
37,1,7,1,11,511.1918692703592,536.5049360568655
38,1,7,2,10,444.2875743163127,477.5690258686835
39,1,7,1,15,364.2887289883495,417.5190204525921
40,1,7,1,15,455.8251122033645,441.8373824584392
1,2,7,2,12,455.8165846516847,617.2559468382866
2,2,7,2,8,433.133419793902,573.5513735647698
3,2,7,1,10,524.1599281668844,464.1986900999832
4,2,7,2,9,353.2904992005656,700.4989599727518
5,2,7,2,10,277.64893093995,413.7032951134169
6,2,7,2,15,551.3261944206772,589.0795269449573
7,2,7,2,14,344.8685049340058,415.2244824237299
8,2,7,1,14,440.1797781918049,494.8065004530037
9,2,7,1,14,568.7616287031083,520.9086820099886
10,2,7,1,12,468.4614026738207,453.8379130920887
11,2,7,1,8,384.3931718487848,530.2311058542857
12,2,7,2,8,314.6432213587775,622.2262012022912
13,2,7,1,15,736.0345008634794,747.2713560570005
14,2,7,2,11,501.4460253330111,606.462465839218
15,2,7,1,14,423.7617595334367,580.4813690194483
16,2,7,2,15,562.402198599578,604.9699646634141
17,2,7,1,15,549.2215014618012,529.7837963552762
18,2,7,1,9,605.2251625643928,447.0997099431637
19,2,7,1,15,375.3548894821989,509.4565848296755
20,2,7,1,9,475.0884602897214,423.7750924047282
21,2,7,1,8,543.4637312958504,541.129188336453
22,2,7,2,11,458.3680368056587,471.7522772336766
23,2,7,2,11,595.1603472183489,703.1758268422227
24,2,7,1,11,489.9757983178052,374.0379816327853
25,2,7,2,10,454.5685859971005,372.6700730861351
26,2,7,1,9,575.4455049623543,375.9238572191877
27,2,7,2,15,513.9172023272484,480.5677626436404
28,2,7,2,10,353.0686064720295,543.4518970961526
29,2,7,1,12,695.4325209649105,492.058716151499
30,2,7,2,13,584.6248483063843,504.9994707781876
31,2,7,2,13,543.8141195217971,416.1303226816252
32,2,7,2,10,356.8508261353638,400.094043311077
33,2,7,2,14,444.7852314319279,630.7608532860963
34,2,7,1,14,470.024069861662,503.4233804795983
35,2,7,1,13,390.337957843581,590.5307857657622
36,2,7,2,15,549.4218536151162,673.3692186522692
37,2,7,1,13,574.256581035908,535.7160626692249
38,2,7,2,14,565.6256185551566,592.3452573304656
39,2,7,1,12,450.1153842558614,588.1330079286433
40,2,7,2,11,310.2951492024745,526.111582727817
1,3,7,1,14,604.3725050328727,550.3530750070364
2,3,7,2,8,432.3237627211635,526.1636025456551
3,3,7,2,15,670.4228443807569,483.8417960600999
4,3,7,1,12,307.6952730124124,508.4622348951406
5,3,7,1,8,480.7811602620813,453.8210228051436
6,3,7,1,9,597.8305343528048,504.6479568819234
7,3,7,2,13,416.9637467275832,573.3908865134421
8,3,7,2,14,522.7712274170406,629.5486064773529
9,3,7,2,13,647.3684503373008,518.3146888932229
10,3,7,2,13,405.5005295251528,590.9682885886732
11,3,7,1,11,366.7916711071617,280.0070650477027
12,3,7,2,9,516.0041147849374,436.5044958206374
13,3,7,1,9,437.8050349209159,601.5452481156788
14,3,7,2,11,469.5989493275436,498.5081118585892
15,3,7,2,12,430.7523695012526,451.206279548776
16,3,7,1,9,441.6265639827594,392.3113392341566
17,3,7,1,14,529.6782562701846,483.2030761092759
18,3,7,1,9,513.5728155177077,480.3968510046152
19,3,7,1,13,376.4958154252408,549.644676642749
20,3,7,2,12,478.5884880466953,461.8028823129138
21,3,7,2,8,543.5866263542904,281.5324057706273
22,3,7,1,8,450.404975107005,441.0626533764348
23,3,7,1,8,633.7766524283918,452.4847230527564
24,3,7,2,14,484.7990591090251,576.0980273001283
25,3,7,2,10,394.0845768526037,496.0171279103639
26,3,7,2,13,406.6692268086821,694.0285815352561
27,3,7,2,11,530.587168097326,376.9288414631021
28,3,7,1,13,580.1052604327764,320.8550658961115
29,3,7,1,11,556.4888811229405,737.2624436634583
30,3,7,1,12,398.2293435124156,447.8062572357704
31,3,7,2,8,566.0041274944238,578.2608137862484
32,3,7,2,15,308.2438448090817,592.640429620802
33,3,7,2,8,466.9940251144756,405.4321803266573
34,3,7,1,12,705.5946910886855,557.337027994351
35,3,7,1,11,462.6771049240798,511.766674629375
36,3,7,2,13,485.2910000240999,426.3794379322481
37,3,7,2,14,475.7362890912124,505.7783972618392
38,3,7,2,8,586.6603596141247,313.778505450322
39,3,7,1,12,535.07461889654,579.7933581102408
40,3,7,2,9,505.8179666958681,599.4293958913377
1,1,8,2,10,447.9277796101923,563.8060907760548
2,1,8,2,14,504.6414957990841,719.5907384076611
3,1,8,1,9,678.843641284574,503.802388686512
4,1,8,1,8,458.9663441777682,416.4000030331449
5,1,8,1,9,430.5447992448755,660.9767393393897
6,1,8,2,9,585.3155370539414,489.7835143282245
7,1,8,2,13,595.081955736056,624.5285075332164
8,1,8,2,15,517.7925504311978,618.0655711027013
9,1,8,1,9,503.2728170351568,482.1434667781845
10,1,8,2,15,302.0525300916051,398.1621382055356
11,1,8,1,14,459.3860952179587,332.8149544167079
12,1,8,2,14,565.5917344531038,667.7353854755906
13,1,8,1,13,693.0410016729606,308.3696006958703
14,1,8,1,14,485.6420463735836,459.2315331894154
15,1,8,1,14,778.5285362508573,651.6383470278957
16,1,8,2,12,497.5169008204821,432.0400930690008
17,1,8,2,9,305.8654532388308,608.2328108298558
18,1,8,2,10,467.4019457335527,647.7960316973159
19,1,8,1,15,462.0344618588371,632.2156418076713
20,1,8,1,11,515.6843487627099,348.5684638748744
21,1,8,1,10,629.5405190229542,469.3943969999398
22,1,8,1,8,406.6884421452403,650.0827163662047
23,1,8,2,10,461.3027793424696,501.8753218356441
24,1,8,2,15,547.0978188389008,572.4327302179906
25,1,8,1,10,419.7682647452693,501.7603696268588
26,1,8,1,12,511.5917695784589,546.296631966133
27,1,8,2,12,536.4883996382115,410.8166280987849
28,1,8,2,10,547.0269912013164,351.7099617020706
29,1,8,2,11,372.8720793184614,538.1187941810014
30,1,8,1,15,485.3416336649302,362.6213058858433
31,1,8,1,11,519.2108377870311,514.2995938446581
32,1,8,1,11,455.3465483064437,530.192293040736
33,1,8,2,15,378.1711489236244,584.1276497753532
34,1,8,2,10,667.4542880321391,340.1820173146933
35,1,8,1,15,551.9766655180099,386.7606108210924
36,1,8,1,12,511.4760266472098,622.8299059821819
37,1,8,2,14,509.6482631793076,549.8416417149175
38,1,8,1,10,688.5646396540508,475.9374947789883
39,1,8,1,11,548.9546025909135,435.3405499916839
40,1,8,1,8,341.4066952825497,541.5972186587202
1,2,8,2,11,446.5707996023011,524.1827394514153
2,2,8,1,11,369.8286348178671,565.2898333066814
3,2,8,2,10,415.8725887327868,339.3277131499823
4,2,8,2,15,465.2188459663468,376.977591401868
5,2,8,2,13,558.1343567107783,483.5032045447612
6,2,8,1,13,691.5445724789157,515.7620821633934
7,2,8,1,10,319.190933651113,445.02825922186
8,2,8,2,13,633.1776671235034,356.2998541335857
9,2,8,2,8,457.8485119936475,589.2401636386738
10,2,8,2,14,528.4494178448742,543.1655452571202
11,2,8,2,11,497.7636681928852,450.4127474563141
12,2,8,1,8,421.15702281944,428.9991716816573
13,2,8,1,15,561.033830220598,471.7243077806693
14,2,8,2,11,533.4060270677586,552.3524658710811
15,2,8,2,10,420.6389496380468,722.8412347776634
16,2,8,2,8,563.6329482691091,485.933830190645
17,2,8,1,13,484.2323197251284,432.5987698973535
18,2,8,2,14,390.9982608490404,570.0093419865151
19,2,8,1,9,427.8772829389822,247.3129342288975
20,2,8,2,11,350.5794284115534,402.0490612059036
